,ID,V,e_V,V-R,e_V-R,V-I,e_V-I,abs(V),abs(V-I),abs(V-R),abs(R-I)
828,05221501,16.313,0.019,0.812,0.024,1.676,0.025,7.674937431123281,1.8686960000000001,0.9057440000000001,0.962952
840,05220584,14.26,0.003,0.55,0.005,1.199,0.005,5.621937431123282,1.3916960000000003,0.6437440000000001,0.7479520000000002
844,05220878,17.306,0.036,0.887,0.045,1.686,0.048,8.667937431123283,1.878696,0.9807439999999998,0.8979520000000001
854,05221867,17.296,0.037,0.855,0.046,1.782,0.048,8.657937431123282,1.974696,0.9487439999999998,1.0259520000000002
857,05222694,17.39,0.039,0.704,0.054,1.487,0.058,8.751937431123283,1.679696,0.797744,0.8819520000000001
859,05222555,17.422,0.044,0.786,0.056,1.503,0.064,8.783937431123283,1.695696,0.8797439999999999,0.8159520000000002
862,05222865,17.373,0.039,0.795,0.05,1.714,0.055,8.734937431123283,1.906696,0.888744,1.017952
864,05221864,12.853,0.002,0.457,0.003,0.957,0.003,4.214937431123282,1.149696,0.5507439999999999,0.5989520000000002
868,05222829,17.249,0.035,0.751,0.044,1.645,0.049,8.610937431123281,1.837696,0.8447439999999999,0.9929520000000001
869,05222300,15.737,0.01,0.683,0.014,1.449,0.015,7.098937431123282,1.6416960000000003,0.7767440000000001,0.8649520000000002
870,05222884,15.302,0.007,0.556,0.01,1.188,0.011,6.663937431123282,1.3806960000000001,0.6497440000000001,0.730952
872,05221501,16.313,0.019,0.812,0.024,1.676,0.025,7.674937431123281,1.8686960000000001,0.9057440000000001,0.962952
891,05212572,17.562,0.042,1.01,0.051,1.954,0.054,8.923937431123283,2.146696,1.103744,1.0429519999999999
897,05212417,17.465,0.041,0.967,0.049,2.013,0.05,8.826937431123282,2.2056959999999997,1.060744,1.1449519999999997
900,05214428,15.602,0.008,1.127,0.01,2.259,0.01,6.9639374311232825,2.4516959999999997,1.220744,1.2309519999999996
904,05214161,15.939,0.011,0.82,0.014,1.763,0.015,7.300937431123282,1.9556959999999999,0.9137439999999999,1.041952
905,05213130,17.364,0.036,0.903,0.044,1.89,0.046,8.725937431123283,2.082696,0.9967439999999999,1.085952
910,05214195,16.222,0.014,0.921,0.017,1.932,0.018,7.5839374311232834,2.1246959999999997,1.014744,1.1099519999999996
912,05213794,16.27,0.014,0.775,0.019,1.617,0.02,7.631937431123282,1.809696,0.868744,0.940952
917,05215541,15.646,0.009,0.721,0.012,1.46,0.013,7.007937431123283,1.652696,0.8147439999999999,0.837952
921,05220054,10.782,0.001,0.372,0.001,0.738,0.001,2.143937431123282,0.9306959999999999,0.465744,0.46495199999999987
926,05215176,16.618,0.019,1.068,0.023,2.146,0.023,7.979937431123281,2.3386959999999997,1.1617439999999999,1.1769519999999998
932,05214903,17.327,0.036,0.735,0.045,1.678,0.048,8.688937431123284,1.870696,0.8287439999999999,1.041952
933,05214907,16.86,0.027,1.255,0.03,2.434,0.03,8.221937431123282,2.626696,1.3487439999999997,1.2779520000000002
934,05215233,16.405,0.016,0.756,0.021,1.578,0.023,7.766937431123283,1.7706960000000003,0.849744,0.9209520000000002
935,05214604,17.231,0.033,0.818,0.041,1.62,0.045,8.592937431123284,1.812696,0.9117439999999999,0.9009520000000002
