ID,Unnamed: 0,V,e_V,V-R,e_V-R,V-I,e_V-I,abs(V),abs(V-I),abs(V-R),abs(R-I),dif_VI,dif_VR
5222341,256,17.289,0.042,0.563,0.058,1.314,0.065,8.650937431123284,1.506696,0.656744,0.849952,-0.6835667974555308,-1.5223679033344393
5222078,257,13.398,0.002,0.555,0.003,1.062,0.004,4.759937431123282,1.2546960000000005,0.648744,0.6059520000000003,2.114638897836845,2.290657156218698
5221632,260,17.244,0.038,0.762,0.049,1.423,0.057,8.605937431123282,1.615696,0.8557439999999998,0.7599520000000002,-0.18931063463063325,0.3928888711192311
5222765,268,17.425,0.046,0.815,0.058,1.562,0.062,8.786937431123283,1.7546960000000005,0.9087439999999998,0.8459520000000005,0.18283840160162157,0.6867992713564757
5212243,279,17.436,0.041,0.806,0.052,1.58,0.057,8.797937431123282,1.772696,0.8997439999999999,0.8729520000000002,0.2418829020741562,0.595861501139666
5212240,284,16.626,0.02,0.682,0.028,1.314,0.032,7.987937431123283,1.506696,0.775744,0.730952,-0.020566797455530583,0.2753046784702047
5211995,294,16.771,0.024,0.798,0.03,1.642,0.032,8.132937431123283,1.834696,0.8917439999999999,0.942952,1.145411152883911,1.1895617666847187
5212419,295,14.274,0.003,0.637,0.004,1.291,0.005,5.635937431123281,1.483696,0.7307439999999998,0.7529520000000001,2.234859735962483,2.2038359555047853
5212365,296,17.374,0.047,0.649,0.063,1.413,0.069,8.735937431123281,1.6056960000000002,0.7427439999999998,0.8629520000000004,-0.3599529116864666,-0.7825650905048933
5212914,299,16.569,0.019,0.918,0.024,1.776,0.025,7.930937431123281,1.968696,1.011744,0.9569520000000002,1.8487002340539043,2.4366692940612857
5213921,304,14.734,0.004,0.656,0.006,1.294,0.007,6.095937431123282,1.486696,0.749744,0.736952,1.7874917220414908,1.923475313778205
5214429,306,15.804,0.01,0.747,0.014,1.499,0.014,7.165937431123282,1.691696,0.8407439999999999,0.8509520000000002,1.555835351270117,1.6966704388749054
5214232,307,17.461,0.075,0.856,0.085,1.469,0.09,8.82293743112328,1.6616960000000005,0.949744,0.7119520000000004,-0.22083176041163455,1.0112590200472322
5214470,308,13.539,0.002,0.543,0.003,1.095,0.004,4.900937431123282,1.2876960000000002,0.636744,0.6509520000000002,2.121149303656412,2.032301272579918
5213030,313,16.963,0.027,0.962,0.033,1.946,0.033,8.324937431123283,2.138696,1.055744,1.082952,2.0634808845955277,2.4125520964422726
5213187,315,16.36,0.015,0.729,0.021,1.454,0.023,7.721937431123282,1.6466960000000002,0.8227439999999999,0.8239520000000002,0.819951518965846,0.976164753057887
5213288,317,17.33,0.038,0.651,0.051,1.398,0.056,8.69193743112328,1.590696,0.7447440000000001,0.845952,-0.3771323146522487,-0.7196794087556686
5215286,327,17.493,0.044,0.628,0.06,1.314,0.068,8.85493743112328,1.506696,0.7217439999999999,0.7849520000000001,-0.8875667974555279,-1.1006828471307228
5215363,329,17.57,0.05,0.598,0.068,1.308,0.073,8.931937431123282,1.5006960000000005,0.6917439999999999,0.8089520000000003,-0.9896996790202346,-1.464711780802192
5215400,332,16.442,0.02,0.525,0.026,-0.989,0.161,7.803937431123282,-0.796304,0.618744,-1.415048,-13.138803218442092,-1.0476136927733952
5215412,334,15.784,0.01,0.611,0.014,1.219,0.017,7.145937431123283,1.4116960000000005,0.704744,0.7069520000000002,0.41847915484655296,0.4460376592383053
5215589,338,17.308,0.037,0.898,0.045,1.705,0.051,8.669937431123282,1.897696,0.991744,0.905952,0.8464922661351189,1.5271513758927266
5215132,341,17.177,0.035,0.736,0.044,1.325,0.052,8.538937431123282,1.5176960000000002,0.829744,0.6879520000000001,-0.5255999272891074,0.22327405639379272
5214748,346,16.24,0.015,0.622,0.021,1.222,0.025,7.601937431123281,1.414696,0.7157439999999999,0.698952,-0.024631166685940897,0.09515292774833828
5214926,349,15.722,0.01,0.645,0.014,1.288,0.016,7.083937431123282,1.4806960000000002,0.7387439999999998,0.7419520000000004,0.7742170950969873,0.8316228121540368
5214940,350,16.117,0.013,0.597,0.018,1.248,0.021,7.478937431123283,1.4406960000000002,0.690744,0.7499520000000002,0.20962692687897722,-0.021331257117407354
5221399,365,17.616,0.047,1.009,0.056,2.031,0.058,8.977937431123282,2.223696,1.1027439999999995,1.1209520000000002,1.7038433091773317,2.1465737440232893
5222761,366,17.481,0.044,0.86,0.055,1.797,0.058,8.842937431123284,1.989696,0.953744,1.0359520000000002,1.0135269188916958,1.0260988636937114
5221665,372,16.963,0.028,0.653,0.038,1.358,0.042,8.324937431123283,1.550696,0.7467439999999999,0.8039520000000002,-0.17455083977560193,-0.3338073179732035
5222885,373,17.102,0.033,0.852,0.042,1.695,0.046,8.463937431123282,1.8876960000000005,0.945744,0.9419520000000003,1.0149879352977322,1.3353608091269198
5222114,375,17.13,0.031,0.858,0.04,1.707,0.042,8.491937431123281,1.8996960000000005,0.951744,0.9479520000000003,1.0319802357707157,1.3596862426619047
5222402,376,11.727,0.001,-0.384,0.001,0.484,0.001,3.0889374311232825,0.676696,-0.290256,0.966952,0.9736829664742785,-6.480835720463769
5222896,379,16.79,0.025,0.783,0.031,1.62,0.034,8.151937431123281,1.812696,0.876744,0.935952,1.0422552829003031,1.036258195293815
5222701,381,16.433,0.018,0.786,0.023,1.603,0.025,7.794937431123282,1.7956960000000002,0.8797439999999999,0.9159520000000004,1.333862384139307,1.4201831007707142
5213906,414,16.483,0.019,-0.26,0.045,0.746,0.045,7.844937431123283,0.938696,-0.166256,1.104952,-2.452896969757835,-9.728140220333952
5213491,416,17.316,0.036,0.71,0.046,1.505,0.053,8.677937431123281,1.697696,0.8037439999999998,0.8939520000000001,0.06764664808963339,-0.15470776456509938
5214374,418,15.56,0.008,0.899,0.01,1.701,0.011,6.921937431123283,1.893696,0.9927439999999998,0.9009520000000002,2.579503436700847,3.283712495536415
5214308,420,16.796,0.024,0.749,0.031,1.455,0.034,8.157937431123282,1.647696,0.8427439999999999,0.8049520000000001,0.3879739413730583,0.7228786803108136
5214160,425,14.971,0.005,0.497,0.008,1.044,0.01,6.332937431123282,1.236696,0.5907439999999999,0.6459520000000001,0.4606079984256439,0.146098764858289
5214130,426,16.845,0.03,0.347,0.041,0.946,0.056,8.206937431123281,1.1386960000000002,0.4407439999999999,0.6979520000000001,-1.861702104888142,-3.255558096069837
5213112,438,15.935,0.011,0.916,0.014,1.824,0.015,7.296937431123283,2.016696,1.009744,1.006952,2.657624294961055,3.0536843664495343
5213695,439,16.784,0.024,0.78,0.03,1.511,0.035,8.145937431123281,1.703696,0.8737440000000001,0.829952,0.6234173701483599,1.015301260127302
